d,z,a,poisson,sigma,E
2,850,156.66,0.35,0.56,12.3568
2,850,156.66,0.35,0.64,14.1221
2,850,156.66,0.35,0.72,15.8873
2,850,156.66,0.35,0.8,17.6526
2,850,156.66,0.4,0.56,12.2533
2,850,156.66,0.4,0.64,14.0037
2,850,156.66,0.4,0.72,15.7542
2,850,156.66,0.4,0.8,17.5047
2,850,156.66,0.45,0.56,12.1097
2,850,156.66,0.45,0.64,13.8396
2,850,156.66,0.45,0.72,15.5696
2,850,156.66,0.45,0.8,17.2995
2,850,156.66,0.5,0.56,11.9259
2,850,156.66,0.5,0.64,13.6297
2,850,156.66,0.5,0.72,15.3334
2,850,156.66,0.5,0.8,17.0371
2,850,169.99,0.35,0.56,14.5096
2,850,169.99,0.35,0.64,16.5825
2,850,169.99,0.35,0.72,18.6553
2,850,169.99,0.35,0.8,20.7281
2,850,169.99,0.4,0.56,14.3872
2,850,169.99,0.4,0.64,16.4426
2,850,169.99,0.4,0.72,18.4979
2,850,169.99,0.4,0.8,20.5532
2,850,169.99,0.45,0.56,14.2177
2,850,169.99,0.45,0.64,16.2488
2,850,169.99,0.45,0.72,18.2799
2,850,169.99,0.45,0.8,20.311
2,850,169.99,0.5,0.56,14.0011
2,850,169.99,0.5,0.64,16.0012
2,850,169.99,0.5,0.72,18.0014
2,850,169.99,0.5,0.8,20.0015
2,895.33,130,0.35,0.56,8.1257
2,895.33,130,0.35,0.64,9.2865
2,895.33,130,0.35,0.72,10.4473
2,895.33,130,0.35,0.8,11.6081
2,895.33,130,0.4,0.56,8.0586
2,895.33,130,0.4,0.64,9.2098
2,895.33,130,0.4,0.72,10.361
2,895.33,130,0.4,0.8,11.5122
2,895.33,130,0.45,0.56,7.9652
2,895.33,130,0.45,0.64,9.1031
2,895.33,130,0.45,0.72,10.241
2,895.33,130,0.45,0.8,11.3788
2,895.33,130,0.5,0.56,7.8455
2,895.33,130,0.5,0.64,8.9663
2,895.33,130,0.5,0.72,10.0871
2,895.33,130,0.5,0.8,11.2079
2,895.33,143.33,0.35,0.56,9.857
2,895.33,143.33,0.35,0.64,11.2651
2,895.33,143.33,0.35,0.72,12.6733
2,895.33,143.33,0.35,0.8,14.0814
2,895.33,143.33,0.4,0.56,9.7752
2,895.33,143.33,0.4,0.64,11.1716
2,895.33,143.33,0.4,0.72,12.5681
2,895.33,143.33,0.4,0.8,13.9645
2,895.33,143.33,0.45,0.56,9.6615
2,895.33,143.33,0.45,0.64,11.0417
2,895.33,143.33,0.45,0.72,12.4219
2,895.33,143.33,0.45,0.8,13.8021
2,895.33,143.33,0.5,0.56,9.5158
2,895.33,143.33,0.5,0.64,10.8752
2,895.33,143.33,0.5,0.72,12.2346
2,895.33,143.33,0.5,0.8,13.594
2,895.33,156.66,0.35,0.56,11.749
2,895.33,156.66,0.35,0.64,13.4274
2,895.33,156.66,0.35,0.72,15.1059
2,895.33,156.66,0.35,0.8,16.7843
2,895.33,156.66,0.4,0.56,11.6509
2,895.33,156.66,0.4,0.64,13.3154
2,895.33,156.66,0.4,0.72,14.9798
2,895.33,156.66,0.4,0.8,16.6442
2,895.33,156.66,0.45,0.56,11.5148
2,895.33,156.66,0.45,0.64,13.1598
2,895.33,156.66,0.45,0.72,14.8047
2,895.33,156.66,0.45,0.8,16.4497
2,895.33,156.66,0.5,0.56,11.3405
2,895.33,156.66,0.5,0.64,12.9606
2,895.33,156.66,0.5,0.72,14.5807
2,895.33,156.66,0.5,0.8,16.2008
2,895.33,169.99,0.35,0.56,13.7995
2,895.33,169.99,0.35,0.64,15.7709
2,895.33,169.99,0.35,0.72,17.7423
2,895.33,169.99,0.35,0.8,19.7136
2,895.33,169.99,0.4,0.56,13.6836
2,895.33,169.99,0.4,0.64,15.6385
2,895.33,169.99,0.4,0.72,17.5933
2,895.33,169.99,0.4,0.8,19.5481
2,895.33,169.99,0.45,0.56,13.523
2,895.33,169.99,0.45,0.64,15.4548
2,895.33,169.99,0.45,0.72,17.3867
2,895.33,169.99,0.45,0.8,19.3185
2,895.33,169.99,0.5,0.56,13.3175
2,895.33,169.99,0.5,0.64,15.22
2,895.33,169.99,0.5,0.72,17.1225
2,895.33,169.99,0.5,0.8,19.025
2,940.66,130,0.35,0.56,7.7411
2,940.66,130,0.35,0.64,8.847
2,940.66,130,0.35,0.72,9.9529
2,940.66,130,0.35,0.8,11.0587
2,940.66,130,0.4,0.56,7.6773
2,940.66,130,0.4,0.64,8.7741
2,940.66,130,0.4,0.72,9.8709
2,940.66,130,0.4,0.8,10.9676
2,940.66,130,0.45,0.56,7.5886
2,940.66,130,0.45,0.64,8.6726
2,940.66,130,0.45,0.72,9.7567
2,940.66,130,0.45,0.8,10.8408
2,940.66,130,0.5,0.56,7.4747
2,940.66,130,0.5,0.64,8.5425
2,940.66,130,0.5,0.72,9.6104
2,940.66,130,0.5,0.8,10.6782
2,940.66,143.33,0.35,0.56,9.3923
2,940.66,143.33,0.35,0.64,10.7341
2,940.66,143.33,0.35,0.72,12.0758
2,940.66,143.33,0.35,0.8,13.4176
2,940.66,143.33,0.4,0.56,9.3146
2,940.66,143.33,0.4,0.64,10.6452
2,940.66,143.33,0.4,0.72,11.9759
2,940.66,143.33,0.4,0.8,13.3065
2,940.66,143.33,0.45,0.56,9.2064
2,940.66,143.33,0.45,0.64,10.5216
2,940.66,143.33,0.45,0.72,11.8368
2,940.66,143.33,0.45,0.8,13.1521
2,940.66,143.33,0.5,0.56,9.0679
2,940.66,143.33,0.5,0.64,10.3633
2,940.66,143.33,0.5,0.72,11.6587
2,940.66,143.33,0.5,0.8,12.9541
2,940.66,156.66,0.35,0.56,11.1975
2,940.66,156.66,0.35,0.64,12.7971
2,940.66,156.66,0.35,0.72,14.3967
2,940.66,156.66,0.35,0.8,15.9964
2,940.66,156.66,0.4,0.56,11.1043
2,940.66,156.66,0.4,0.64,12.6906
2,940.66,156.66,0.4,0.72,14.277
2,940.66,156.66,0.4,0.8,15.8633
2,940.66,156.66,0.45,0.56,10.9749
2,940.66,156.66,0.45,0.64,12.5427
2,940.66,156.66,0.45,0.72,14.1105
2,940.66,156.66,0.45,0.8,15.6784
2,940.66,156.66,0.5,0.56,10.8092
2,940.66,156.66,0.5,0.64,12.3533
2,940.66,156.66,0.5,0.72,13.8975
2,940.66,156.66,0.5,0.8,15.4417
2,940.66,169.99,0.35,0.56,13.1547
2,940.66,169.99,0.35,0.64,15.0339
2,940.66,169.99,0.35,0.72,16.9132
2,940.66,169.99,0.35,0.8,18.7924
2,940.66,169.99,0.4,0.56,13.0446
2,940.66,169.99,0.4,0.64,14.9081
2,940.66,169.99,0.4,0.72,16.7717
2,940.66,169.99,0.4,0.8,18.6352
2,940.66,169.99,0.45,0.56,12.8919
2,940.66,169.99,0.45,0.64,14.7336
2,940.66,169.99,0.45,0.72,16.5753
2,940.66,169.99,0.45,0.8,18.417
2,940.66,169.99,0.5,0.56,12.6965
2,940.66,169.99,0.5,0.64,14.5103
2,940.66,169.99,0.5,0.72,16.3241
2,940.66,169.99,0.5,0.8,18.1379
2,985.99,130,0.35,0.56,7.391
2,985.99,130,0.35,0.64,8.4469
2,985.99,130,0.35,0.72,9.5028
2,985.99,130,0.35,0.8,10.5586
2,985.99,130,0.4,0.56,7.3303
2,985.99,130,0.4,0.64,8.3775
2,985.99,130,0.4,0.72,9.4246
2,985.99,130,0.4,0.8,10.4718
2,985.99,130,0.45,0.56,7.2456
2,985.99,130,0.45,0.64,8.2807
2,985.99,130,0.45,0.72,9.3158
2,985.99,130,0.45,0.8,10.3509
2,985.99,130,0.5,0.56,7.1371
2,985.99,130,0.5,0.64,8.1567
2,985.99,130,0.5,0.72,9.1763
2,985.99,130,0.5,0.8,10.1958
2,985.99,143.33,0.35,0.56,8.9691
2,985.99,143.33,0.35,0.64,10.2503
2,985.99,143.33,0.35,0.72,11.5316
2,985.99,143.33,0.35,0.8,12.8129
2,985.99,143.33,0.4,0.56,8.895
2,985.99,143.33,0.4,0.64,10.1657
2,985.99,143.33,0.4,0.72,11.4364
2,985.99,143.33,0.4,0.8,12.7071
2,985.99,143.33,0.45,0.56,8.7919
2,985.99,143.33,0.45,0.64,10.0479
2,985.99,143.33,0.45,0.72,11.3039
2,985.99,143.33,0.45,0.8,12.5599
2,985.99,143.33,0.5,0.56,8.6598
2,985.99,143.33,0.5,0.64,9.897
2,985.99,143.33,0.5,0.72,11.1341
2,985.99,143.33,0.5,0.8,12.3712
2,985.99,156.66,0.35,0.56,10.6948
2,985.99,156.66,0.35,0.64,12.2226
2,985.99,156.66,0.35,0.72,13.7505
2,985.99,156.66,0.35,0.8,15.2783
2,985.99,156.66,0.4,0.56,10.6061
2,985.99,156.66,0.4,0.64,12.1212
2,985.99,156.66,0.4,0.72,13.6364
2,985.99,156.66,0.4,0.8,15.1515
2,985.99,156.66,0.45,0.56,10.4827
2,985.99,156.66,0.45,0.64,11.9803
2,985.99,156.66,0.45,0.72,13.4778
2,985.99,156.66,0.45,0.8,14.9753
2,985.99,156.66,0.5,0.56,10.3247
2,985.99,156.66,0.5,0.64,11.7997
