q,a,E1,E2,f,N,h1
0.48,162.9088031,1500,125,0.93,1000000,33.85255574
0.48,162.9088031,1500,125,0.93,17333333,174.2618024
0.48,162.9088031,1500,267,0.93,33666666,76.92831677
0.48,162.9088031,1500,267,0.93,50000000,101.1575086
0.48,162.9088031,1500,127,1,1000000,25.05445988
0.48,162.9088031,1500,127,1,17333333,159.7130507
0.48,162.9088031,1500,267,1,33666666,71.5433346
0.48,162.9088031,1500,267,1,50000000,94.07648298
0.48,162.9088031,1500,128,0.8,1000000,25.67976654
0.48,162.9088031,1500,128,0.8,17333333,198.1930839
0.48,162.9088031,1500,128,0.8,33666666,241.3345523
0.48,162.9088031,1500,128,0.8,50000000,269.8357293
0.48,162.9088031,1500,128,0.87,1000000,23.61357842
0.48,162.9088031,1500,128,0.87,17333333,182.2465139
0.48,162.9088031,1500,128,0.87,33666666,221.9168297
0.48,162.9088031,1500,128,0.87,50000000,248.1248086
0.48,162.9088031,1500,128,0.93,1000000,22.09012175
0.48,162.9088031,1500,128,0.93,17333333,170.4886743
0.48,162.9088031,1500,128,0.93,33666666,207.5996149
0.48,162.9088031,1500,128,0.93,50000000,232.1167564
0.48,162.9088031,1500,128,1,1000000,20.54381323
0.48,162.9088031,1500,128,1,17333333,158.5544671
0.48,162.9088031,1500,128,1,33666666,193.0676418
0.48,162.9088031,1500,128,1,50000000,215.8685835
0.48,162.9088031,2167,23,0.8,1000000,304.1674599
0.48,162.9088031,2167,23,0.8,17333333,615.9297656
0.48,162.9088031,2167,23,0.8,33666666,724.8019014
0.48,162.9088031,2167,23,0.8,50000000,798.5063059
0.48,162.9088031,2167,23,0.87,1000000,279.694216
0.48,162.9088031,2167,23,0.87,17333333,566.3721983
0.48,162.9088031,2167,23,0.87,33666666,666.484507
0.48,162.9088031,2167,23,0.87,50000000,734.2586721
0.48,162.9088031,2167,23,0.93,1000000,261.6494278
0.48,162.9088031,2167,23,0.93,17333333,529.8320564
0.48,162.9088031,2167,23,0.93,33666666,623.4855065
0.48,162.9088031,2167,23,0.93,50000000,686.8871449
0.48,162.9088031,2167,23,1,1000000,243.3339679
0.48,162.9088031,2167,23,1,17333333,492.7438125
0.48,162.9088031,2167,23,1,33666666,579.8415211
0.48,162.9088031,2167,23,1,50000000,638.8050447
0.48,162.9088031,2167,122,0.8,1000000,42.69159078
0.48,162.9088031,2167,145,0.8,17333333,155.1410213
0.48,162.9088031,2167,145,0.8,33666666,191.4628465
0.48,162.9088031,2167,145,0.8,50000000,215.2255411
0.48,162.9088031,2167,125,0.87,1000000,32.01100238
0.48,162.9088031,2167,145,0.87,17333333,142.6584104
0.48,162.9088031,2167,145,0.87,33666666,176.0577898
0.48,162.9088031,2167,145,0.87,50000000,197.9085435
0.48,162.9088031,2167,125,0.93,1000000,29.94577642
0.48,162.9088031,2167,145,0.93,17333333,133.4546419
0.48,162.9088031,2167,145,0.93,33666666,164.6992228
0.48,162.9088031,2167,145,0.93,50000000,185.1402504
0.48,162.9088031,2167,124,1,1000000,30.14608515
0.48,162.9088031,2167,145,1,17333333,124.112817
0.48,162.9088031,2167,145,1,33666666,153.1702772
0.48,162.9088031,2167,145,1,50000000,172.1804329
0.48,162.9088031,2167,125,0.8,1000000,34.81196508
0.48,162.9088031,2167,125,0.8,17333333,179.2005256
0.48,162.9088031,2167,267,0.8,33666666,79.10852871
0.48,162.9088031,2167,267,0.8,50000000,104.0243958
0.48,162.9088031,2167,122,0.87,1000000,39.2566352
0.48,162.9088031,2167,122,0.87,17333333,168.4557255
0.48,162.9088031,2167,267,0.87,33666666,72.74347468
0.48,162.9088031,2167,267,0.87,50000000,95.65461683
0.48,162.9088031,2167,124,0.93,1000000,32.41514532
0.48,162.9088031,2167,124,0.93,17333333,155.2851724
0.48,162.9088031,2167,267,0.93,33666666,68.05034728
0.48,162.9088031,2167,267,0.93,50000000,89.48335123
0.48,162.9088031,2167,128,1,1000000,18.17293922
0.48,162.9088031,2167,124,1,17333333,144.4152103
0.48,162.9088031,2167,267,1,33666666,63.28682297
0.48,162.9088031,2167,267,1,50000000,83.21951665
0.48,162.9088031,2167,124,0.8,1000000,37.68260643
0.48,162.9088031,2167,124,0.8,17333333,180.5190129
0.48,162.9088031,2167,124,0.8,33666666,219.2289855
0.48,162.9088031,2167,124,0.8,50000000,244.8518835
0.48,162.9088031,2167,124,0.87,1000000,34.65067258
0.48,162.9088031,2167,124,0.87,17333333,165.9944946
0.48,162.9088031,2167,124,0.87,33666666,201.5898717
0.48,162.9088031,2167,124,0.87,50000000,225.1511572
0.48,162.9088031,2167,124,0.93,1000000,32.41514532
0.48,162.9088031,2167,124,0.93,17333333,155.2851724
0.48,162.9088031,2167,124,0.93,33666666,188.5840735
