d,z,a,poisson,sigma,E
5.0000,940.6600,150.8242,0.4500,0.5600,4.0729
5.0000,940.6600,141.0832,0.4500,0.6400,4.0791
5.0000,940.6600,133.0145,0.4500,0.7200,4.0840
5.0000,940.6600,126.1886,0.4500,0.8000,4.0879
5.0000,940.6600,150.8242,0.5000,0.5600,4.0115
5.0000,940.6600,141.0832,0.5000,0.6400,4.0178
5.0000,940.6600,133.0145,0.5000,0.7200,4.0227
5.0000,940.6600,126.1886,0.5000,0.8000,4.0267
5.0000,940.6600,150.8242,0.3500,0.5600,4.1553
5.0000,940.6600,141.0832,0.3500,0.6400,4.1614
5.0000,940.6600,133.0145,0.3500,0.7200,4.1662
5.0000,940.6600,126.1886,0.3500,0.8000,4.1700
5.0000,940.6600,150.8242,0.4000,0.5600,4.1209
5.0000,940.6600,141.0832,0.4000,0.6400,4.1270
5.0000,940.6600,133.0145,0.4000,0.7200,4.1319
5.0000,940.6600,126.1886,0.4000,0.8000,4.1357
5.0000,940.6600,150.8242,0.4500,0.5600,4.0729
5.0000,940.6600,141.0832,0.4500,0.6400,4.0791
5.0000,940.6600,133.0145,0.4500,0.7200,4.0840
5.0000,940.6600,126.1886,0.4500,0.8000,4.0879
5.0000,940.6600,150.8242,0.5000,0.5600,4.0115
5.0000,940.6600,141.0832,0.5000,0.6400,4.0178
5.0000,940.6600,133.0145,0.5000,0.7200,4.0227
5.0000,940.6600,126.1886,0.5000,0.8000,4.0267
5.0000,985.9900,150.8242,0.3500,0.5600,3.9685
5.0000,985.9900,141.0832,0.3500,0.6400,3.9738
5.0000,985.9900,133.0145,0.3500,0.7200,3.9779
5.0000,985.9900,126.1886,0.3500,0.8000,3.9813
5.0000,985.9900,150.8242,0.4000,0.5600,3.9356
5.0000,985.9900,141.0832,0.4000,0.6400,3.9410
5.0000,985.9900,133.0145,0.4000,0.7200,3.9452
5.0000,985.9900,126.1886,0.4000,0.8000,3.9486
5.0000,985.9900,150.8242,0.4500,0.5600,3.8899
5.0000,985.9900,141.0832,0.4500,0.6400,3.8954
5.0000,985.9900,133.0145,0.4500,0.7200,3.8996
5.0000,985.9900,126.1886,0.4500,0.8000,3.9030
5.0000,985.9900,150.8242,0.5000,0.5600,3.8314
5.0000,985.9900,141.0832,0.5000,0.6400,3.8369
5.0000,985.9900,133.0145,0.5000,0.7200,3.8412
5.0000,985.9900,126.1886,0.5000,0.8000,3.8446
5.0000,985.9900,150.8242,0.3500,0.5600,3.9685
5.0000,985.9900,141.0832,0.3500,0.6400,3.9738
5.0000,985.9900,133.0145,0.3500,0.7200,3.9779
5.0000,985.9900,126.1886,0.3500,0.8000,3.9813
5.0000,985.9900,150.8242,0.4000,0.5600,3.9356
5.0000,985.9900,141.0832,0.4000,0.6400,3.9410
5.0000,985.9900,133.0145,0.4000,0.7200,3.9452
5.0000,985.9900,126.1886,0.4000,0.8000,3.9486
5.0000,985.9900,150.8242,0.4500,0.5600,3.8899
5.0000,985.9900,141.0832,0.4500,0.6400,3.8954
5.0000,985.9900,133.0145,0.4500,0.7200,3.8996
5.0000,985.9900,126.1886,0.4500,0.8000,3.9030
5.0000,985.9900,150.8242,0.5000,0.5600,3.8314
5.0000,985.9900,141.0832,0.5000,0.6400,3.8369
5.0000,985.9900,133.0145,0.5000,0.7200,3.8412
5.0000,985.9900,126.1886,0.5000,0.8000,3.8446
5.0000,985.9900,150.8242,0.3500,0.5600,3.9685
5.0000,985.9900,141.0832,0.3500,0.6400,3.9738
5.0000,985.9900,133.0145,0.3500,0.7200,3.9779
5.0000,985.9900,126.1886,0.3500,0.8000,3.9813
5.0000,985.9900,150.8242,0.4000,0.5600,3.9356
5.0000,985.9900,141.0832,0.4000,0.6400,3.9410
5.0000,985.9900,133.0145,0.4000,0.7200,3.9452
5.0000,985.9900,126.1886,0.4000,0.8000,3.9486
5.0000,985.9900,150.8242,0.4500,0.5600,3.8899
5.0000,985.9900,141.0832,0.4500,0.6400,3.8954
5.0000,985.9900,133.0145,0.4500,0.7200,3.8996
5.0000,985.9900,126.1886,0.4500,0.8000,3.9030
5.0000,985.9900,150.8242,0.5000,0.5600,3.8314
5.0000,985.9900,141.0832,0.5000,0.6400,3.8369
5.0000,985.9900,133.0145,0.5000,0.7200,3.8412
5.0000,985.9900,126.1886,0.5000,0.8000,3.8446
5.0000,985.9900,150.8242,0.3500,0.5600,3.9685
5.0000,985.9900,141.0832,0.3500,0.6400,3.9738
5.0000,985.9900,133.0145,0.3500,0.7200,3.9779
5.0000,985.9900,126.1886,0.3500,0.8000,3.9813
5.0000,985.9900,150.8242,0.4000,0.5600,3.9356
5.0000,985.9900,141.0832,0.4000,0.6400,3.9410
5.0000,985.9900,133.0145,0.4000,0.7200,3.9452
5.0000,985.9900,126.1886,0.4000,0.8000,3.9486
5.0000,985.9900,150.8242,0.4500,0.5600,3.8899
5.0000,985.9900,141.0832,0.4500,0.6400,3.8954
5.0000,985.9900,133.0145,0.4500,0.7200,3.8996
5.0000,985.9900,126.1886,0.4500,0.8000,3.9030
5.0000,985.9900,150.8242,0.5000,0.5600,3.8314
5.0000,985.9900,141.0832,0.5000,0.6400,3.8369
5.0000,985.9900,133.0145,0.5000,0.7200,3.8412
5.0000,985.9900,126.1886,0.5000,0.8000,3.8446
